Latitude,Longitude,Stop Name,Stop Status
40.688494, -73.979951, FULTON ST/HUDSON AV, at stop
40.686709, -73.965541, GREENE AV/WASHINGTON AV, approaching
40.692271, -73.919362, GATES AV/EVERGREEN AV, approaching
40.696153, -73.990078, Tillary St (not used), approaching
40.687366, -73.959937, GREENE AV/CLASSON AV, approaching
40.696156, -73.990141, Tillary St (not used), approaching
40.686788, -73.964891, GREENE AV/WASHINGTON AV, approaching
40.685356, -73.958008, GATES AV/CLASSON AV, approaching
40.696185, -73.990801, Tillary St (not used), approaching
40.688389, -73.931487, GATES AV/MALCOLM X BL, approaching
40.693866, -73.990441, N/A, N/A
40.687557, -73.9776, FULTON ST/HUDSON AV, < 1 stop away
